speciesId,formKey,nameZh,alternate,normalStatus,shinyStatus,normalUrls,shinyUrls
44,gloom,臭臭花,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gloom.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gloom-s.gif
45,vileplume,霸王花,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/vileplume.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/vileplume-s.gif
46,paras,派拉斯,False,no_mapped_index_entry,no_mapped_index_entry,,
47,parasect,派拉斯特,False,no_mapped_index_entry,no_mapped_index_entry,,
48,venonat,毛球,False,no_mapped_index_entry,no_mapped_index_entry,,
49,venomoth,摩鲁蛾,False,no_mapped_index_entry,no_mapped_index_entry,,
50,diglett,地鼠,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/diglett.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/diglett-s.gif
51,dugtrio,三地鼠,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/dugtrio.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/dugtrio-s.gif
52,meowth,喵喵,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/meowth.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/meowth-s.gif
53,persian,猫老大,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/persian.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/persian-s.gif
54,psyduck,可达鸭,False,no_mapped_index_entry,no_mapped_index_entry,,
55,golduck,哥达鸭,False,no_mapped_index_entry,no_mapped_index_entry,,
56,mankey,猴怪,False,no_mapped_index_entry,no_mapped_index_entry,,
57,primeape,火暴猴,False,no_mapped_index_entry,no_mapped_index_entry,,
58,growlithe,卡蒂狗,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/growlithe.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/growlithe-s.gif
59,arcanine,风速狗,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/arcanine.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/arcanine-s.gif
60,poliwag,蚊香蝌蚪,False,no_mapped_index_entry,no_mapped_index_entry,,
61,poliwhirl,蚊香君,False,no_mapped_index_entry,no_mapped_index_entry,,
62,poliwrath,蚊香泳士,False,no_mapped_index_entry,no_mapped_index_entry,,
63,abra,凯西,False,no_mapped_index_entry,no_mapped_index_entry,,
64,kadabra,勇基拉,False,no_mapped_index_entry,no_mapped_index_entry,,
65,alakazam,胡地,False,no_mapped_index_entry,no_mapped_index_entry,,
66,machop,腕力,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/machop.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/machop-s.gif
67,machoke,豪力,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/machoke.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/machoke-s.gif
68,machamp,怪力,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/machamp.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/machamp-s.gif
69,bellsprout,喇叭芽,False,no_mapped_index_entry,no_mapped_index_entry,,
70,weepinbell,口呆花,False,no_mapped_index_entry,no_mapped_index_entry,,
71,victreebel,大食花,False,no_mapped_index_entry,no_mapped_index_entry,,
72,tentacool,玛瑙水母,False,no_mapped_index_entry,no_mapped_index_entry,,
73,tentacruel,毒刺水母,False,no_mapped_index_entry,no_mapped_index_entry,,
74,geodude,小拳石,False,no_mapped_index_entry,no_mapped_index_entry,,
75,graveler,隆隆石,False,no_mapped_index_entry,no_mapped_index_entry,,
76,golem,隆隆岩,False,no_mapped_index_entry,no_mapped_index_entry,,
